moves,shallow,deep
39,0.017347414712153512,0.01667943763326226
40,-0.0696965784914712,-0.0931407416044776
41,0.013489472281449897,0.04077158848614073
42,-0.1372988572761194,-0.11423948893923241
43,-0.056949626865671635,-0.059719816098081024
44,-0.1482696728411514,-0.11781383262260128
45,0.01183285581023455,0.019702825159914707
46,-0.033476729077825146,-0.03755372134861407
47,0.060166244669509594,0.049918376865671646
48,-0.03419759461620468,-0.056860507729211085
49,0.04272971082089552,0.03172641257995736
50,-0.0059335021321961536,-0.016564915378464815
51,0.05535047974413647,0.0394589552238806
52,-0.009576975613006397,-0.03274378664712153
53,0.0658407182835821,0.03291078091684435
54,-0.07981909648187632,-0.09263642723880595
55,-0.051330956823027706,-0.06467633928571427
56,-0.11512943097014926,-0.14529959021855007
57,-0.0640808235607676,-0.07997901119402985
58,-0.11417077558635394,-0.14131546508528783
59,-0.0847348081023454,-0.08772904450959487
60,-0.1706435734275053,-0.0978336553837953
61,-0.08772904450959487,-1
62,-0.08837911447228144,-1
63,-1,-1
64,-1,-1
5,0.013765158582089551,0.0
6,0.010140841551172708,0.01282899120469083
7,0.011030783582089553,0.002467017590618341
8,0.009446628464818767,-0.009024353678038378
9,0.010640158582089552,-0.0007779184434968016
10,-0.027177588619402986,-0.01625508062366738
11,-0.027958422174840084,-0.02589202425373135
12,-0.01625508062366738,-0.02188957555970149
13,-0.011496368603411515,-0.014635527718550104
14,-0.02552180503731343,-0.02883253931236674
15,-0.023069363006396584,-0.010711787046908314
16,-0.03353794642857143,-0.031942547308102344
17,-0.0015325159914712123,-0.005287180170575691
18,-0.03597373067697227,-0.038492803837953095
19,-0.025852878464818763,-0.011905317164179113
20,-0.056561500533049036,-0.05202183835287846
21,-0.029874067164179112,-0.011792044243070357
22,-0.02741079757462687,-0.03489805437100213
23,0.006343283582089548,0.0045559035181236655
24,-0.04132670908848615,-0.026131063432835826
25,-0.004658348880597024,-0.004804104477611946
26,-0.0730447927771855,-0.05923507462686567
27,-0.017122534648187637,-0.01654950692963753
28,-0.08152985074626866,-0.07035164578891258
29,-0.040790744936034115,-0.027968416844349676
30,-0.13445454091151388,-0.1005696961620469
31,-0.02033415511727079,-0.023947228144989334
32,-0.1255488739339019,-0.07648545775586355
33,0.032027085554371,0.024008861940298505
34,-0.06227428704690831,-0.04912879797441364
35,0.01907649253731343,0.00853294909381663
36,-0.07981118403518123,-0.040863206289978686
37,0.017408215618336886,0.014189099147121534
38,-0.04538995868869935,-0.025918260261194034
39,0.04557402718550106,0.035384461620469085
40,-0.06173873933901919,-0.038059701492537304
41,0.024780950159914703,-0.016722747867803842
42,-0.07454524253731343,-0.09112056902985075
43,-0.020307502665245204,-0.024762626599147124
44,-0.10210096281982942,-0.07461187366737738
45,-0.040185234541577824,-0.04835587686567165
46,-0.071471881663113,-0.07466309634861407
47,-0.011530517057569297,-0.019589552238805975
48,-0.09487148520788911,-0.07858267257462685
49,-0.0718633395522388,-0.07586287313432835
50,-0.07527651918976544,-0.11573494136460555
51,-0.016874333688699353,-0.046817530650319815
52,-0.04751923973880596,-0.05176988939232408
53,-0.020650652985074618,-0.044081489872068225
54,-0.0511560501066098,-0.05367304104477612
55,-0.0033632062899786866,-0.04819429637526653
56,-0.03336637126865673,-0.0527272954424307
57,0.0021721748400852815,-0.042547308102345416
58,-0.08681078424840084,-0.115404700826226
59,-0.025179904051172704,-0.010624333688699352
60,-0.08317688899253732,-0.09604252731876331
61,-0.018665878198294225,-1
62,-0.03504380996801704,-1
63,-1,-1
64,-1,-1
5,0.013765158582089551,0.0
6,0.024362006929637525,-0.006191697761194028
7,0.028311567164179104,0.014867903784648185
8,0.03293451825692964,0.02451442563965885
9,0.014034181769722813,0.015733275586353943
10,0.015637076892324093,0.00831389925373134
11,0.012050239872068231,0.014955357142857144
12,-0.010627665245202561,-0.00478661380597015
13,0.04509761460554371,0.03766491204690832
14,0.02963794309701492,0.027543643390191906
15,0.055746934968017046,0.050458921908315565
16,0.03596665111940298,0.0337982242803838
17,0.036561333955223874,0.042474013859275045
18,0.008767407382729209,0.013185467750533048
19,0.022398054371002132,0.033243936567164185
20,0.009975513059701496,0.006999183768656728
21,0.06068097014925373,0.046296974946695095
22,-0.008209788113006397,-0.017421958288912583
23,0.03870768923240937,0.02292860474413646
24,-0.028122917777185504,-0.04068330223880597
25,0.013272088219616207,0.028116671108741997
26,-0.02609733142324094,-0.012462103544776119
